id,question,answer
0,🌹 عربی عبارت مضبوط کرنے کا طریقہ🌹,
1,"""قام يقوم "" ،کا مصدر کیسے ڈھونڈیں\n","ابتداء یہ بات یاد رکھیں کہ ثلاثی مجرد کے تمام مصادر سماعی ہوتے ہیں یعنی اِن کا کوئ خاص وزن نہیں ہوتا. \n\nاب سوال یہ ہے کہ مصدر کیسے ڈھونڈیں تو اِس کا طریقہ یہ ہے کہ آپ القاموس الوحید یا المنجد میں ""ق ، و م"" اس کا باب تلاش کریں. وہی پر اِس کا پہلا صیغہ (واحد مذکر غائب) ہوگا اور اسکے بعد اِس کا باب لکھا ہوگا پھر اِس کے بعد اُس کا مصدر لکھا ہوگا۔\n\n"
2,صرف میں یہ کیسے پہچانے کی مصدر میں تعلیل ہے\n یا نہی,اس کی پہچان کا قاعدہ کلیہ نہیں ہے \nایک طریقہ ہے جس سے حروف اصلیہ اور تعلیل دونوں کا پتہ چل سکتا ہے \nوہ یہ ہے کہ آپ لفظ کی مختلف صورتیں دیکھیں \nتو جو حروف ہر جگہ آ رہے ہوں وہی حروف اصلیہ ہوں گے اور مصدر میں یا کہین بھی ان حروف میں سے کوئی موجود نا ہو تو سمجھیں تعلیل ہوئی ہے جیسے قضی یقضی قاضی یہ تین لفظ ہیں ان میں ق ض ی ہر جگہ ہیں اور یہ حروف اصلیہ ہیں اب اس کا مصدر قضاء آئے گا تو ھمزہ یاء کی جگہ ہے جس سے با آسانی آپ معلوم کر سکتے ہیں یہاں کوئی تعلیل ہوئی ہے
3,نحو میں عبور کیسے حاصل کریں ؟\n,*🌹فنِ نحو میں مضبوطی کا آسان حل🌹* \n\n*✍️ ابو المتبسِّم ایاز* \n\n👈 اِس فن پہ تو کتبِ کثیرہ تحریر کی گئی ہیں۔ اور وقت کے بدلنے کے ساتھ ساتھ مزید کتب بھی لکھی جارہی ہیں۔\n\n👈 لیکن اِس فن میں مضبوطی حاصل کرنے کا ایک آسان طریقہ عرض کرتا ہوں وہ یہ ہے کہ آپ اِس فن کو 9 حصوں پہ تقسیم کریں:\n\n👈 *پہلا حصہ: تعارف علمِ نحو* \n(اِس میں نحو کی تعریف ، موضوع ، لفظ کی تعریف مع اقسام وغیرہ)\n\n👈 *دوسرا حصہ: أسماء کا بیان*\n(اسم کی تقسیم باعتبارِ تعریف و تنکیر ، افراد ، اعراب و بناء ، تذکیر و تأنیث وغیرہ) \n\n👈 *تیسرا حصہ: افعال کا بیان*\n(افعال قلوب ، مدح و ذم ، مقاربہ وغیرہ)\n\n👈 *چوتھا حصہ: مرکبات کا بیان*\n(مرکب اضافی ، توصیفی ، مزجی ، بنائ وغیرہ)\n\n👈 *پانچواں حصہ: مرفوعات کا بیان* \n(مکمل 8 مرفوعات کا مختصراً تعارف)\n\n👈 *چھٹا حصہ: منصوبات کا بیان* \n(مکمل 12 منصوبات کا تعارف)\n\n👈 *ساتواں حصہ: توابع کا بیان* \n(صفت ، بدل عطف وغیرہ کا بیان)\n\n👈 *آٹھواں حصہ: عوامل کا بیان*\n(اسماء و افعال عوامل وغیرہ کا بیان)\n\n👈 *نواں حصہ: حُروف کا بیان*\n(معانی و مبانی کی مختصراً بحث)\n \n👈 آپ اِن 9 حصوں کو سمجھ کہ یاد کریں ان شاء اللّٰه عزوجل آپ کو نحو میں کمزوری باقی نہیں رہے گی۔
4,اگر کسی شخص نے سحری کرنے کے بعد نیت کر لی تھی لیکن پھر اس نے کچھ کھا پی لیا تو کیا دوبارا نیت کرنی ہوگی؟ اور اگر نہ کی روزہ ہو جائے گا یا نہیں؟,نیت دل کے پختہ ارادے کا نام ہے اگر سحری کر کے وقت کے اندر ہی دوبارہ کچھ کھا پی لیا تو دوبارہ نیت کی ضرورت نہیں پہلے والی کافی ہے
5,کیا الماء جامد ہے؟\n,جی ہاں ، جامد ہے
6,فعل ماضی معروف میں جو ضمائر مستتر ہے\nوہ کون سے ہیں؟\nاور کیسے معلوم کئے جاتے ہیں؟,ماضی میں واحد مذکر غائب اور واحد مؤنث غائب میں ضمیر مستتر ہوتی ہے۔
7,مفرد کا مقسم کیا ہے,لفظ
8,صَلُّوا کا باب کیا ہے,باب تَفْعِیْلٌ
9,اسلام و علیکم ورحمتہ الله میرا ایک سوال تھا\nکہ اس ایپ 📲 میں میرے پاس پہلے پارہ کےمعلل اور غیر معلل صیغے تو (show) ہوتے ہیں لیکن 2پارہ سے لے کر 10پارے تک صرف غیر معلل صیغے ہی (show) ہوتے ہیں اور باقی 11سے30وے پارے تک معلل اور نہ غیر معلل صیغے(show) ہوتے ہیں بلکہ اس کی جگہ (will be added soon) (show)ہوتا ہےاور نہ کوئی بھی صیغہ سرچ ہوتا ہے اس کے متعلق مجھے بتا دیں کہ ایسا کیوں کر ہو رہا ہے اس لیے کہ مجھےاپنی پسند کا آیپ بڑی چھان بین کے بعد ملا ہے \nاللہ آپ کی محنت کو قبول فرماۓ اور\nاللہ تعالیٰ آپ کو ایمان والی زندگی نصیب فرماۓ(آمین),ان باقی پاروں کی صرفی تحقیق بھی جلد اپلوڈ کی جائے گی.
10,نحو کی ایپلیکیشن,یہ لیں ہماری نحو کی ایپ \nhttps://play.google.com/store/apps/details?id=com.nahwkidunya\n
11,معلل کیا ہے ؟\n,جس صیغہ میں تعلیل ہو تو وہ معلّل ہوتا ہے
12,مالھم من دونہ من ولی ولا شفیع میں من ولی میں میم کونسا ہے,موصولہ
13,شرف ر پر ضمہ  ھے کونسا صیغہ ھے\n\n,شَرُفَ صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد صحیح از باب کَرُمَ يَکْرُمُ
14,مسلمین صیغہ کون سا ہے \n,مُسْلِمِیْنَ صیغہ تثنیہ اسم فاعل
15,حرف کی علامت \n,جس کلمہ میں اسم و فعل کی علامات نہیں پائی جائے تو وہ کلمہ حرف ہوتا ہے۔
16,صِدتُّ کونسا صیغہ ہے ؟,فعل ماضی مطلق مثبت معروف ، صیغہ واحد متکلم
17,اگر کسی اسم سے پہلے حرف شرط ان آجاے تو وہ کس چیز کا معنیٰ دیتا ہے,
18,کم عدد رجلا کی ترکیب,یہ مثال کہاں لکھی ہوئ ہے. میری نظر سے تو نہیں گزری
19,صرف کو صرف کیوں کہتے ہیں \n,کیونکہ صرف کا لغوی معنی پھیرنا ہے چونکہ اس علم میں ایک صیغہ کو مختلف صیغوں کی طرف پھیرا جاتا \n ہےاسلئے اس علم کو علم صرف کہتے ہیں
20,نحوکا ترجمہ کیسے کریں,ترجمہ کے اصول سیکھ کہ ترجمہ کیا جا سکتا ہے۔
